Killing Floor 2,64688,"18 Nov, 2016","Zombies, Co-op, Gore, FPS, Survival, Multiplayer, Action, Online Co-Op, Horror, Shooter, First-Person, Team-Based, Survival Horror, Great Soundtrack, Atmospheric, Difficult, Singleplayer, Early Access, Indie, Blood"
Wreckfest,17081,"14 Jun, 2018","Racing, Automobile Sim, Destruction, Simulation, Driving, Physics, Multiplayer, Action, Indie, Sports, Singleplayer, Realistic, Early Access, Funny, Arcade, Sandbox, Third Person, Open World, Co-op, Atmospheric"
Serious Sam 4,7069,"24 Sep, 2020","Action, Gore, FPS, Shooter, Co-op, Adventure, Violent, Comedy, Multiplayer, Singleplayer, Indie, Great Soundtrack, Classic, Blood, First-Person, Fast-Paced, Difficult, Arena Shooter, Third-Person Shooter, Open World"
Door Kickers: Action Squad,4075,"10 Sep, 2018","Action, Indie, Pixel Graphics, Co-op, 2D, Tactical, Strategy, Local Co-Op, Casual, Retro, Simulation, Multiplayer, Addictive, Zombies, Replay Value, Soundtrack, Real Time Tactics, Singleplayer, Level Editor, Moddable"
Black Mesa,49024,"6 Mar, 2020","FPS, Action, Remake, Sci-fi, First-Person, Singleplayer, Shooter, Classic, Atmospheric, Story Rich, Great Soundtrack, Adventure, Aliens, Zombies, Horror, Early Access, Multiplayer, Indie, Mod, Co-op"
Blade and Sorcery,12278,"11 Dec, 2018","VR, Action, Simulation, Gore, Swordplay, Adventure, RPG, Violent, Indie, Early Access, Medieval, Moddable, Magic, First-Person, Physics, Fighting, Sandbox, Fantasy, Singleplayer, Multiplayer"
Pacify,12470,"22 Feb, 2019","Horror, Multiplayer, Co-op, Survival Horror, Thriller, Online Co-Op, Psychological Horror, Action, Indie, Adventure, Dark, Singleplayer, Funny, First-Person, Strategy, Casual, Gore, PvP, Puzzle, Atmospheric"
Deadside,13284,"14 Apr, 2020","Survival, Open World, Massively Multiplayer, Multiplayer, Action, Adventure, Open World Survival Craft, Crafting, Indie, Early Access, Post-apocalyptic, Base Building, PvP, Gore, Violent, Shooter, FPS, Realistic, First-Person, Singleplayer"
KovaaK 2.0,12531,"3 Apr, 2018","Action, Simulation, Shooter, FPS, Indie, First-Person, Software Training, Singleplayer, Multiplayer"
Gang Beasts,21092,"12 Dec, 2017","Funny, Multiplayer, Fighting, Local Multiplayer, Comedy, Physics, Action, Co-op, 4 Player Local, Beat 'em up, Indie, Colorful, Third Person, Casual, Early Access, Adventure, Singleplayer, Sandbox, Great Soundtrack, Simulation"
Visage,3493,"29 Oct, 2020","Horror, Psychological Horror, Survival Horror, Dark, Adventure, Atmospheric, First-Person, Indie, Early Access, Violent, Singleplayer, Exploration, Realistic, Simulation, Walking Simulator, Surreal, Multiplayer, Action, Experimental, Story Rich"
Post Scriptum,10141,"9 Aug, 2018","World War II, Simulation, FPS, Action, Massively Multiplayer, Military, Multiplayer, Strategy, Realistic, War, Indie, First-Person, Singleplayer, Shooter, Historical, Team-Based, Tactical, Co-op, Open World, Violent"
Lonely Mountains: Downhill,768,"23 Oct, 2019","Indie, Racing, Sports, Bikes, Physics, Singleplayer, Action, Fast-Paced, Difficult, Funny, Cycling, Open World, Simulation, Competitive, Atmospheric, Realistic, Offroad, 3D, Driving, Multiplayer"
Steel Division 2,3127,"20 Jun, 2019","Strategy, World War II, RTS, Military, Indie, Simulation, Action, Singleplayer, War, Multiplayer, Historical, Realistic, Tactical, Co-op, Turn-Based Strategy, Real-Time with Pause, Moddable, Replay Value, Wargame, Real Time Tactics"
The Escapists 2,11983,"21 Aug, 2017","Multiplayer, Strategy, Pixel Graphics, Online Co-Op, Co-op, 2D, Crafting, Simulation, Indie, Singleplayer, Local Co-Op, Sandbox, Stealth, Character Customization, Funny, Puzzle, Difficult, Open World, Action, Split Screen"
Skater XL - The Ultimate Skateboarding Game,10282,"28 Jul, 2020","Skateboarding, Sports, Simulation, Action, Indie, Early Access, Moddable, Skating, Singleplayer, Controller, Multiplayer, Adventure, Realistic, Open World"
Idle Champions of the Forgotten Realms,7438,"25 Mar, 2020","Idler, Clicker, Free to Play, Dungeons & Dragons, Strategy, Adventure, Early Access, Indie, Action, Fantasy, Singleplayer, Casual, RPG, Multiplayer, 2D, Loot, Dungeon Crawler, Magic"
Stranded Deep,26360,"23 Jan, 2015","Open World Survival Craft, Survival, Multiplayer, Open World, Crafting, First-Person, Adventure, Exploration, Realistic, Singleplayer, Building, Sandbox, Early Access, Simulation, Co-op, Underwater, Action, Atmospheric, Indie, Strategy"
The Walking Dead: Saints & Sinners,3477,"23 Jan, 2020","Action, Adventure, VR, RPG, Indie, Simulation, Strategy, Zombies, Horror, Survival, Gore, Violent, Open World, Singleplayer, Survival Horror, Multiplayer, First-Person, FPS, Choices Matter, Shooter"
Mount & Blade: Warband,93434,"31 Mar, 2010","Medieval, RPG, Open World, Strategy, Sandbox, Action, Multiplayer, Moddable, Military, Adventure, Horses, Singleplayer, Realistic, First-Person, Historical, Third Person, Simulation, Hack and Slash, Fantasy, Indie"
SUPERHOT VR,4165,"25 May, 2017","Action, Indie, VR, Bullet Time, Shooter, FPS, Time Manipulation, First-Person, Singleplayer, Minimalist, Puzzle, Difficult, Violent, Atmospheric, Cyberpunk, Multiplayer, Horror, Simulation, Physics, Short"
Feed and Grow: Fish,4772,"8 Jan, 2016","Simulation, Underwater, Early Access, Survival, Multiplayer, Action, Indie, Open World, Singleplayer, Adventure, Colorful, Fishing, Funny, Co-op, Sandbox, Free to Play, Strategy, Cute, Atmospheric, Realistic"
Arizona Sunshine®,5101,"6 Dec, 2016","Action, VR, Zombies, Co-op Campaign, Adventure, Multiplayer, Horror, Survival, Online Co-Op, FPS, Gore, Shooter, First-Person, Survival Horror, Indie, Co-op, Open World, Violent, Singleplayer, Post-apocalyptic"
Rising Storm 2: Vietnam,28277,"30 May, 2017","FPS, War, Realistic, Multiplayer, Military, Shooter, Tactical, Action, First-Person, Historical, Team-Based, Simulation, Gore, Atmospheric, Cold War, Massively Multiplayer, Violent, Strategy, Singleplayer, Indie"
Heroes of Hammerwatch,3907,"1 Mar, 2018","Roguelite, Action Roguelike, Co-op, RPG, Multiplayer, Dungeon Crawler, Pixel Graphics, Indie, Action, Online Co-Op, Adventure, 2D, Procedural Generation, Top-Down, Hack and Slash, Singleplayer, Fantasy, Bullet Hell, Action RPG, Roguelike"
Minion Masters,51698,"24 May, 2019","Free to Play, Strategy, Deckbuilding, RTS, Tower Defense, Multiplayer, RPG, Card Game, PvP, Indie, Action, Adventure, Competitive, Real Time Tactics, Trading Card Game, Singleplayer, Fantasy, Top-Down, Real-Time, Co-op"
Empyrion - Galactic Survival,19801,"5 Aug, 2020","Open World Survival Craft, Survival, Space, Open World, Building, Multiplayer, Sandbox, Crafting, Exploration, Sci-fi, Adventure, Co-op, Early Access, Singleplayer, Simulation, First-Person, Strategy, Aliens, Indie, Action"
People Playground,17149,"23 Jul, 2019","Sandbox, Violent, Gore, Simulation, Physics, Blood, Funny, Casual, Indie, Singleplayer, 2D, Building, Psychological Horror, Destruction, Moddable, Horror, Pixel Graphics, Action, Realistic, Multiplayer"
Forts,5605,"19 Apr, 2017","Base Building, Physics, Building, Destruction, Memes, Multiplayer, Sandbox, Moddable, Strategy, Action, Funny, Retro, Level Editor, 2D, Pixel Graphics, Singleplayer, Military, Lemmings, Indie, Tactical"
"Warhammer 40,000: Inquisitor - Martyr",9139,"5 Jun, 2018","Warhammer 40K, RPG, Action, Action RPG, Hack and Slash, Adventure, Indie, Loot, Games Workshop, Violent, Co-op, Gore, Online Co-Op, Sci-fi, Multiplayer, Isometric, Futuristic, Singleplayer, Early Access, Open World"
Outlast,41089,"4 Sep, 2013","Horror, First-Person, Survival Horror, Atmospheric, Gore, Survival, Psychological Horror, Singleplayer, Adventure, Action, Dark, Indie, Stealth, Nudity, Parkour, Difficult, 3D Vision, Walking Simulator, Sci-fi, Multiplayer"
Gems of War - Puzzle RPG,6791,"20 Nov, 2014","Free to Play, Match 3, Puzzle, RPG, Casual, Strategy, Card Game, Adventure, Fantasy, Action, Multiplayer, Singleplayer, Touch-Friendly, Story Rich, PvP, Indie, PvE, 2D, Sexual Content"
Avorion,7226,"9 Mar, 2020","Space, Sandbox, Building, Open World, Sci-fi, Simulation, Action, Multiplayer, Space Sim, Singleplayer, Indie, Co-op, Early Access, Survival, Adventure, Base Building, Exploration, Economy, Trading, Flight"
Stay Out,6664,"27 Nov, 2019","Free to Play, Survival, Multiplayer, Open World, Massively Multiplayer, Online Co-Op, Co-op, Action, Horror, RPG, Zombies, Post-apocalyptic, Early Access, FPS, Indie, Singleplayer, PvP, Violent, MMORPG, Atmospheric"
Outlast 2,17981,"24 Apr, 2017","Horror, Psychological Horror, Survival Horror, First-Person, Gore, Singleplayer, Dark, Atmospheric, Violent, Survival, Mature, Action, Adventure, Story Rich, Nudity, Sexual Content, Parkour, Indie, Multiplayer, FPS"
BIGFOOT,4865,"31 Jan, 2017","Early Access, Horror, Multiplayer, Survival Horror, Co-op, Survival, Action, Atmospheric, Online Co-Op, Open World, Adventure, Supernatural, FPS, Singleplayer, Shooter, Psychological Horror, First-Person, Hunting, Funny, Multiple Endings"
Enter the Gungeon,48220,"5 Apr, 2016","Bullet Hell, Action Roguelike, Roguelike, Pixel Graphics, Difficult, Dungeon Crawler, Indie, Twin Stick Shooter, Local Co-Op, Action, Roguelite, 2D, Singleplayer, Top-Down, Multiplayer, Co-op, Loot, Shooter, Cute, Funny"
Rivals of Aether,13781,"28 Mar, 2017","Fighting, 2D Fighter, Multiplayer, Pixel Graphics, Indie, Local Multiplayer, Competitive, Great Soundtrack, 2D, 4 Player Local, Platformer, Action, Arcade, Games Workshop, Controller, Singleplayer, Beat 'em up, Early Access, Retro, GameMaker"
港詭實錄ParanormalHK,5171,"6 Jan, 2020","Horror, Adventure, Indie, Psychological Horror, Sexual Content, Puzzle, Singleplayer, First-Person, Drama, Multiplayer, Thriller, Atmospheric, Dark, Action, Funny, Walking Simulator"
Zero Caliber VR,2043,"9 Nov, 2018","Action, VR, Simulation, FPS, Shooter, Indie, Casual, Violent, Multiplayer, Early Access, First-Person, Mature, Singleplayer, Military, Co-op, War, Gun Customization"
Sign of Silence,300,"1 Oct, 2020","Horror, Co-op, Atmospheric, Multiplayer, Singleplayer, Action, 4 Player Local, Adventure, Dark, First-Person, Lovecraftian, Character Customization, Multiple Endings, Psychological Horror, Online Co-Op, Local Co-Op, Action-Adventure, Survival Horror, Indie, Local Multiplayer"
"Flashing Lights - Police, Firefighting, Emergency Services Simulator",6774,"7 Jun, 2018","Automobile Sim, Simulation, Multiplayer, Open World, Early Access, Realistic, Crime, Online Co-Op, Indie, Third Person, Co-op, Tactical, Action, Singleplayer, Third-Person Shooter, Shooter, Driving, First-Person, Funny, RPG"
Trine 4: The Nightmare Prince,5127,"8 Oct, 2019","Puzzle Platformer, Action-Adventure, Beautiful, Online Co-Op, 2.5D, Fantasy, Local Co-Op, Adventure, Platformer, Co-op, Puzzle, Action, Atmospheric, Multiplayer, Stylized, Great Soundtrack, Local Multiplayer, Indie, RPG, Singleplayer"
ARK: Extinction - Expansion Pack,1927,"6 Nov, 2018","Adventure, Action, Massively Multiplayer, RPG, Survival, Indie, Dinosaurs, Open World, Singleplayer, Multiplayer, Crafting, Sandbox, Building, Co-op"
Hero Siege,18444,"29 Jan, 2014","RPG, Action Roguelike, Hack and Slash, Roguelike, Indie, Pixel Graphics, Action, Multiplayer, Adventure, Co-op, Local Co-Op, 2D, Roguelite, Top-Down, Action RPG, Massively Multiplayer, Controller, Difficult, Bullet Hell, Singleplayer"
We Happy Few,5767,"10 Aug, 2018","Adventure, Action, Open World, Survival, Indie, Dystopian , Psychological Horror, First-Person, Horror, Singleplayer, Atmospheric, Stealth, Exploration, Dark, Crafting, Survival Horror, Early Access, Procedural Generation, Mature, Multiplayer"
ShellShock Live,20217,"22 May, 2020","Tanks, Multiplayer, Strategy, 2D, Action, Turn-Based, Early Access, Casual, Shooter, Online Co-Op, Massively Multiplayer, Indie, Colorful, Funny, Co-op, Turn-Based Strategy, Singleplayer, Physics, Great Soundtrack, Family Friendly"
City Car Driving,7100,"3 Nov, 2016","Simulation, Driving, Automobile Sim, Open World, Realistic, Singleplayer, Survival Horror, Racing, Multiplayer, First-Person, Indie, Physics, Moddable, Family Friendly, VR, Adventure, Action, Psychological Horror, Casual, Education"
Firestone Idle RPG,2827,"26 Sep, 2019","Free to Play, Clicker, Multiplayer, RPG, Adventure, Indie, Idler, Singleplayer, Action, Casual, Early Access, Party-Based RPG, Strategy, Strategy RPG, MMORPG, Simulation, Action RPG, Card Game, Fantasy, Party"
Besiege,35865,"18 Feb, 2020","Building, Sandbox, Physics, Destruction, Medieval, Simulation, Singleplayer, Strategy, Indie, Early Access, Funny, Puzzle, Multiplayer, Blood, Action, Open World, Casual, Third Person, Gore, Adventure"
BattleBlock Theater®,43710,"15 May, 2014","Comedy, Co-op, Funny, Platformer, Multiplayer, Local Co-Op, Adventure, Indie, 2D, Action, Great Soundtrack, Online Co-Op, Cats, Casual, Puzzle, Level Editor, Local Multiplayer, Singleplayer, Difficult, Team-Based"
TerraTech,9979,"10 Aug, 2018","Building, Sandbox, Open World, Open World Survival Craft, Robots, Multiplayer, Action, Crafting, Survival, Adventure, Singleplayer, Exploration, Strategy, Early Access, Indie, Physics, Third Person, Shooter, Sci-fi, Co-op"
Mindustry,5865,"26 Sep, 2019","Tower Defense, Strategy, Base Building, Resource Management, Multiplayer, Sandbox, Co-op, Building, Automation, 2D, Pixel Graphics, Online Co-Op, Indie, PvP, RTS, PvE, Singleplayer, Action, Management"
Drug Dealer Simulator,6998,"16 Apr, 2020","Simulation, Action, Indie, Crime, Adventure, Singleplayer, Resource Management, First-Person, Crafting, Open World, Trading, Realistic, Management, Strategy, Funny, Sandbox, Dark Comedy, Inventory Management, Multiplayer, Atmospheric"
Onward,5418,"29 Aug, 2016","VR, Shooter, FPS, Military, Realistic, Simulation, Multiplayer, Action, Indie, Early Access, War, First-Person, Violent, Tactical, Singleplayer, PvP, Online Co-Op, eSports, Modern, Class-Based"
This Land Is My Land,1286,"20 Nov, 2019","Open World Survival Craft, Survival, Open World, RPG, Simulation, Action, Crafting, Indie, Third Person, Early Access, Western, Multiplayer, Violent, Sandbox, Stealth, Historical, America, Singleplayer, First-Person, FPS"
From the Depths,6431,"6 Nov, 2020","Building, Sandbox, Strategy, Open World, Naval, Action, Multiplayer, Simulation, Adventure, War, Crafting, Physics, Early Access, Indie, RPG, Singleplayer, Voxel, Space, Co-op, Shooter"
Subsistence,6750,"25 Oct, 2016","Open World Survival Craft, Survival, Crafting, Multiplayer, Open World, Building, Base Building, Sandbox, Early Access, Co-op, Action, Singleplayer, First-Person, FPS, Adventure, Online Co-Op, Difficult, Shooter, Nudity, Indie"
Colony Survival,4105,"16 Jun, 2017","Colony Sim, Survival, Base Building, Building, Multiplayer, Strategy, Sandbox, Open World, Early Access, Adventure, City Builder, Crafting, Zombies, Management, Action, Indie, Co-op, Voxel, Singleplayer, RTS"
Stronghold Crusader 2,6693,"22 Sep, 2014","Strategy, Medieval, City Builder, RTS, Multiplayer, Simulation, Historical, Classic, Co-op, Singleplayer, Building, Resource Management, Atmospheric, Sandbox, Action, Tactical, Open World, Adventure, Survival, Indie"
ARK: Aberration - Expansion Pack,2592,"12 Dec, 2017","Survival, Adventure, Action, Massively Multiplayer, Dinosaurs, Open World, Exploration, Building, RPG, Crafting, Multiplayer, Indie, Fantasy, Singleplayer, Free to Play, Co-op, Sandbox, Base Building"
Clone Drone in the Danger Zone,8031,"16 Mar, 2017","Action, Robots, 3D Fighter, Swordplay, Fighting, Indie, Early Access, Funny, Singleplayer, Multiplayer, Pixel Graphics, Voxel, Futuristic, Third Person, Difficult, Survival, Comedy, Dark Humor, Philosophical, Roguelike"
Overcooked,8641,"3 Aug, 2016","Local Co-Op, Local Multiplayer, Multiplayer, Co-op, Casual, 4 Player Local, Family Friendly, Funny, Co-op Campaign, Indie, Simulation, Cooking, Action, Cute, Singleplayer, Colorful, Difficult, Great Soundtrack, Split Screen, Adventure"
Warhammer: Vermintide 2 - Back to Ubersreik,451,"10 Dec, 2018","Action, Gore, Violent, Co-op, Games Workshop, Fantasy, Dark Fantasy, Multiplayer, First-Person, Online Co-Op, Atmospheric, Singleplayer, Tactical, Adventure, Indie, Hack and Slash, FPS, Moddable, Team-Based, PvE"
Warhammer: Vermintide 2 - Winds of Magic,1451,"13 Aug, 2019","Action, Gore, Violent, Co-op, Online Co-Op, Multiplayer, FPS, Hack and Slash, Dark Fantasy, First-Person, Atmospheric, Singleplayer, Action RPG, Games Workshop, PvE, Replay Value, Fantasy, Adventure, Moddable, Indie"
Skullgirls,13404,"22 Aug, 2013","Fighting, 2D Fighter, Indie, Anime, Multiplayer, 2D, Great Soundtrack, Action, Female Protagonist, Competitive, Local Multiplayer, Hand-drawn, Cute, Crowdfunded, Arcade, Cartoon, Controller, Singleplayer, Nudity, Beat 'em up"
Just Shapes & Beats,8026,"31 May, 2018","Rhythm, Great Soundtrack, Music, Bullet Hell, Difficult, Indie, Action, 2D, Multiplayer, Co-op, Local Multiplayer, Singleplayer, Local Co-Op, Online Co-Op, Story Rich, 4 Player Local, Fast-Paced, Colorful, Funny, Strategy"
Torchlight II,27054,"20 Sep, 2012","RPG, Action RPG, Hack and Slash, Dungeon Crawler, Loot, Co-op, Fantasy, Online Co-Op, Action, Adventure, Multiplayer, Singleplayer, Indie, Moddable, Character Customization, Isometric, Replay Value, Steampunk, Atmospheric, Cartoon"
SYNTHETIK: Legion Rising,4749,"15 Mar, 2018","Indie, Action, Roguelite, Top-Down Shooter, Action Roguelike, Online Co-Op, Difficult, Twin Stick Shooter, Roguelike, Co-op, Shooter, Isometric, Bullet Hell, Top-Down, Robots, Cyberpunk, Singleplayer, Great Soundtrack, Tactical, Multiplayer"
Paint the Town Red,9467,"13 Oct, 2015","Action, Gore, Blood, Fighting, First-Person, Violent, Multiplayer, Voxel, Early Access, Beat 'em up, Funny, Physics, Indie, Difficult, Singleplayer, Adventure, FPS, Roguelike, Mature, Arcade"
Cold Waters,2545,"5 Jun, 2017","Simulation, Naval Combat, Strategy, Naval, Submarine, Cold War, Indie, Military, War, Singleplayer, Open World, Tactical, Action, Multiplayer, Realistic, Historical, Atmospheric"
M.A.S.S. Builder,1555,"13 Sep, 2019","Mechs, Hack and Slash, Character Customization, Shooter, Third-Person Shooter, FPS, Strategy, RPG, Third Person, Post-apocalyptic, Gun Customization, Anime, Robots, Action, Sci-fi, Multiplayer, Singleplayer, Indie, Early Access, Crowdfunded"
Bright Memory,23303,"25 Mar, 2020","Action, Adventure, Female Protagonist, Indie, FPS, Sexual Content, Singleplayer, Gore, Violent, Sci-fi, Shooter, Hack and Slash, First-Person, Early Access, Multiplayer, Nudity, Open World, Anime, Souls-like, Short"
Job Simulator,1780,"5 Apr, 2016","Simulation, VR, Funny, Singleplayer, First-Person, Robots, Comedy, Physics, Memes, Family Friendly, Sandbox, Atmospheric, Sci-fi, Casual, Realistic, Action, Indie, Illuminati, Open World, Multiplayer"
Call to Arms,7175,"30 Jul, 2015","Strategy, Action, Multiplayer, Military, RTS, Shooter, War, First-Person, Simulation, Tactical, Real-Time, FPS, Singleplayer, Modern, Co-op, Realistic, Third Person, Indie, Free to Play, Early Access"
Shotgun Farmers,5682,"8 Mar, 2019","Action, Multiplayer, Shooter, FPS, Funny, First-Person, Team-Based, Colorful, Co-op, Arena Shooter, Online Co-Op, Character Customization, 3D, Cartoony, Singleplayer, Cartoon, PvP, PvE, Stylized, Indie"
Wizard of Legend,9345,"15 May, 2018","Action Roguelike, Pixel Graphics, Action, Roguelike, Dungeon Crawler, Adventure, Magic, Local Co-Op, Roguelite, Indie, Multiplayer, Hack and Slash, Co-op, Local Multiplayer, Difficult, 2D, Singleplayer, Procedural Generation, RPG, Fast-Paced"
GROUND BRANCH,1748,"14 Aug, 2018","Tactical, Indie, Action, Simulation, Realistic, FPS, Early Access, Military, Shooter, Co-op, Multiplayer, Singleplayer, First-Person, War, Gun Customization"
